GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
TIMEEVERY SEAT_1F_RR14 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00533,18:00:00,0,18:02:46,166,00:02:46,166
TIMEEVERY SEAT_1F_LR06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00186,18:00:00,0,18:02:47,167,00:02:47,167
TIMEEVERY SEAT_1F_RR16 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00619,18:00:00,0,18:02:47,167,00:02:47,167
TIMEEVERY SEAT_1F_LR07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00224,18:00:00,0,18:02:48,168,00:02:48,168
TIMEEVERY SEAT_1F_RR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00575,18:00:00,0,18:02:48,168,00:02:48,168
TIMEEVERY SEAT_1F_LL14 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00500,18:00:00,0,18:02:48,168,00:02:48,168
TIMEEVERY SEAT_1F_RR17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00656,18:00:00,0,18:02:49,169,00:02:49,169
TIMEEVERY SEAT_1F_LR16 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00587,18:00:00,0,18:02:49,169,00:02:49,169
TIMEEVERY SEAT_1F_RR19 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00742,18:00:00,0,18:02:49,169,00:02:49,169
TIMEEVERY SEAT_1F_LR07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00225,18:00:00,0,18:02:50,170,00:02:50,170
TIMEEVERY SEAT_1F_RR13 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00496,18:00:00,0,18:02:50,170,00:02:50,170
TIMEEVERY SEAT_1F_RR17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00659,18:00:00,0,18:02:51,171,00:02:51,171
TIMEEVERY SEAT_1F_LR08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00266,18:00:00,0,18:02:51,171,00:02:51,171
TIMEEVERY SEAT_1F_LR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00543,18:00:00,0,18:02:51,171,00:02:51,171
TIMEEVERY SEAT_1F_RR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00577,18:00:00,0,18:02:51,171,00:02:51,171
TIMEEVERY SEAT_1F_RR06 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_6 ROOT_2F_R06 ROOT_2F_R01 ROOT_2F_R02,ag00217,18:00:00,0,18:02:52,172,00:02:52,172
TIMEEVERY SEAT_1F_LL16 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00578,18:00:00,0,18:02:52,172,00:02:52,172
TIMEEVERY SEAT_1F_RL16 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00612,18:00:00,0,18:02:53,173,00:02:53,173
TIMEEVERY SEAT_1F_CL08 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00268,18:00:00,0,18:02:53,173,00:02:53,173
TIMEEVERY SEAT_1F_LL09 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00299,18:00:00,0,18:02:53,173,00:02:53,173
TIMEEVERY SEAT_1F_CL13 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00477,18:00:00,0,18:02:54,174,00:02:54,174
TIMEEVERY SEAT_1F_RR13 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00497,18:00:00,0,18:02:54,174,00:02:54,174
TIMEEVERY SEAT_1F_RR09 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_6 ROOT_2F_R06 ROOT_2F_R01 ROOT_2F_R02,ag00335,18:00:00,0,18:02:54,174,00:02:54,174
TIMEEVERY SEAT_1F_LR07 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00223,18:00:00,0,18:02:55,175,00:02:55,175
TIMEEVERY SEAT_1F_CL15 18:00:00 18:00:00 1 1 10 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00553,18:00:00,0,18:02:55,175,00:02:55,175
TIMEEVERY SEAT_1F_RR18 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00701,18:00:00,0,18:02:55,175,00:02:55,175
TIMEEVERY SEAT_1F_LL17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00624,18:00:00,0,18:02:56,176,00:02:56,176
TIMEEVERY SEAT_1F_RL16 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00613,18:00:00,0,18:02:56,176,00:02:56,176
TIMEEVERY SEAT_1F_RR15 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00574,18:00:00,0,18:02:56,176,00:02:56,176
TIMEEVERY SEAT_1F_RR17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00657,18:00:00,0,18:02:57,177,00:02:57,177
TIMEEVERY SEAT_1F_LR08 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00267,18:00:00,0,18:02:57,177,00:02:57,177
TIMEEVERY SEAT_1F_LL10 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_1 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00339,18:00:00,0,18:02:57,177,00:02:57,177
TIMEEVERY SEAT_1F_RR17 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00660,18:00:00,0,18:02:58,178,00:02:58,178
TIMEEVERY SEAT_1F_LL13 18:00:00 18:00:00 1 1 5 PLAIN EXIT DOOR_1F_2 ROOT_2F_L06 ROOT_2F_L01 ROOT_2F_L02,ag00459,18:00:00,0,18:02:58,178,00:02:58,178
TIMEEVERY SEAT_1F_RR18 18:00:00 18:00:00 1 1 6 PLAIN EXIT DOOR_1F_5 ROOT_2F_R01 ROOT_2F_R02,ag00699,18:00:00,0,18:02:58,178,00:02:58,178
