実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"497,324.8 ","278,523.6 ","273,436.5 ","231,038.1 ","30,093.9 ","80,930.4 ","-1,347.2 ","87,367.3 ","39,607.7 ",-27.3 ,"-10,837.3 ","42,988.2 ","53,825.5 ","-6,986.2 ",,"15,205.4 ","512,530.3 ","8,278.2 ","11,673.5 ","3,395.2 ","520,808.5 ",,"513,057.2 ","387,657.4 ","125,388.7 ",,"149,037.9 ",,"498,027.4 ",,,
2002/ 1- 3.,"498,585.1 ","280,259.3 ","275,266.2 ","232,628.4 ","29,732.4 ","80,576.3 ","-3,353.9 ","87,485.2 ","39,850.9 ",-89.4 ,"-9,369.4 ","44,962.1 ","54,331.5 ","-6,506.3 ",,"15,129.6 ","513,714.6 ","8,069.3 ","11,152.8 ","3,083.5 ","521,783.9 ",,"512,501.0 ","386,792.4 ","125,684.0 ",,"148,577.9 ",,"501,198.0 ",,,
4- 6.,"502,163.5 ","282,276.7 ","277,441.2 ","234,574.5 ","29,896.4 ","79,438.5 ","-2,390.6 ","87,681.7 ","38,904.1 ",-24.9 ,"-7,737.5 ","48,199.9 ","55,937.4 ","-5,880.9 ",,"15,063.4 ","517,226.8 ","7,291.8 ","10,547.5 ","3,255.7 ","524,518.6 ",,"513,836.6 ","388,711.3 ","125,092.9 ",,"146,642.8 ",,"503,817.7 ",,,
7- 9.,"503,709.3 ","282,346.7 ","277,618.8 ","234,545.0 ","29,876.7 ","80,507.6 ","-1,460.4 ","88,364.2 ","38,796.3 ",-57.1 ,"-9,123.2 ","48,709.0 ","57,832.2 ","-5,541.6 ",,"14,991.1 ","518,700.3 ","7,472.4 ","10,876.9 ","3,404.5 ","526,172.7 ",,"516,486.8 ","390,779.9 ","125,671.2 ",,"147,663.8 ",,"504,523.9 ",,,
10-12.,"504,885.8 ","281,370.5 ","276,610.6 ","233,317.4 ","29,579.2 ","80,504.6 ",522.4 ,"88,238.2 ","38,324.4 ",-164.4 ,"-8,304.4 ","50,343.4 ","58,647.8 ","-5,184.7 ",,"15,260.4 ","520,146.2 ","7,127.1 ","10,442.8 ","3,315.8 ","527,273.3 ",,"516,513.5 ","391,458.9 ","125,021.1 ",,"146,962.4 ",,"503,950.7 ",,,
2003/ 1- 3.,"504,304.8 ","281,691.3 ","276,767.2 ","233,245.8 ","29,499.1 ","80,207.9 ",-361.0 ,"88,801.5 ","37,444.1 ",-77.0 ,"-8,019.4 ","51,019.7 ","59,039.1 ","-4,881.7 ",,"13,734.0 ","518,038.9 ","7,749.6 ","10,899.5 ","3,149.9 ","525,788.4 ",,"515,468.4 ","390,548.3 ","124,892.4 ",,"145,757.8 ",,"504,115.2 ",,,
4- 6.,"508,465.6 ","282,589.2 ","277,467.6 ","233,717.8 ","29,550.8 ","81,235.3 ",-776.4 ,"89,510.9 ","37,573.5 ",71.7 ,"-6,040.3 ","51,094.8 ","57,135.1 ","-5,249.1 ",,"14,429.1 ","522,894.8 ","7,945.0 ","10,881.5 ","2,936.5 ","530,839.8 ",,"518,052.4 ","392,151.2 ","125,873.6 ",,"147,009.7 ",,"508,528.4 ",,,
7- 9.,"509,941.6 ","282,804.8 ","277,540.9 ","233,529.1 ","30,115.2 ","79,421.6 ","1,641.9 ","89,946.1 ","36,678.7 ",-98.0 ,"-5,605.7 ","52,907.3 ","58,513.0 ","-4,963.0 ",,"14,475.0 ","524,416.6 ","9,491.4 ","12,333.5 ","2,842.1 ","533,908.0 ",,"518,689.3 ","393,305.6 ","125,364.8 ",,"144,753.2 ",,"507,917.5 ",,,
10-12.,"515,098.8 ","286,023.4 ","280,706.7 ","236,560.2 ","29,797.6 ","82,466.9 ",-528.5 ,"90,306.8 ","35,922.7 ",-374.1 ,"-4,284.0 ","55,600.2 ","59,884.2 ","-4,232.1 ",,"14,769.3 ","529,868.1 ","8,508.2 ","11,225.3 ","2,717.2 ","538,376.2 ",,"522,124.4 ","397,313.3 ","124,806.1 ",,"146,995.5 ",,"515,324.8 ",,,
2004/ 1- 3.,"519,509.2 ","286,553.8 ","281,272.3 ","236,934.9 ","30,295.0 ","82,313.0 ","2,549.0 ","90,811.1 ","34,430.1 ",-326.6 ,"-3,303.5 ","58,354.5 ","61,657.9 ","-3,812.7 ",,"13,992.3 ","533,501.5 ","9,525.6 ","12,234.9 ","2,709.3 ","543,027.1 ",,"525,136.8 ","401,103.5 ","124,030.8 ",,"145,891.7 ",,"516,810.5 ",,,
