"時間軸（2020～2023） コード","時間軸（2020～2023） 補助コード","時間軸（2020～2023）","性別_基本 コード","性別_基本 補助コード","性別_基本","地域 コード","地域 補助コード","地域","/表章項目","全学歴 所定内給与額【千円】","中学 所定内給与額【千円】","高校 所定内給与額【千円】","専門学校 所定内給与額【千円】","高専 短大 所定内給与額【千円】","大学 所定内給与額【千円】","大学院 所定内給与額【千円】"
"2023000000","","2023年","02","","男","37000","","香川県","","208.1","-","184.1","197.4","204.9","223.9","241.0"
"2023000000","","2023年","02","","男","38000","","愛媛県","","198.5","-","184.5","187.8","219.4","211.2","239.8"
"2023000000","","2023年","02","","男","39000","","高知県","","191.9","-","175.3","182.0","182.1","216.9","225.0"
"2023000000","","2023年","02","","男","40000","","福岡県","","228.3","176.0","190.4","212.2","224.3","230.6","354.1"
"2023000000","","2023年","02","","男","41000","","佐賀県","","195.5","-","180.6","193.2","215.0","220.5","265.2"
"2023000000","","2023年","02","","男","42000","","長崎県","","186.6","-","173.3","198.2","183.9","205.3","277.6"
"2023000000","","2023年","02","","男","43000","","熊本県","","209.3","-","177.2","214.0","186.0","236.9","265.6"
"2023000000","","2023年","02","","男","44000","","大分県","","206.9","-","190.4","208.6","198.9","213.0","305.2"
"2023000000","","2023年","02","","男","45000","","宮崎県","","193.9","-","178.7","182.7","176.9","211.5","223.7"
"2023000000","","2023年","02","","男","46000","","鹿児島県","","215.8","-","181.8","211.5","214.4","247.3","261.8"
"2023000000","","2023年","02","","男","47000","","沖縄県","","217.1","-","160.0","187.4","189.7","252.4","195.6"
"2023000000","","2023年","03","","女","00000","","全国","","221.8","150.0","183.2","217.0","211.7","234.3","260.8"
"2023000000","","2023年","03","","女","01000","","北海道","","208.2","-","171.7","208.7","196.9","222.9","265.1"
"2023000000","","2023年","03","","女","02000","","青森県","","188.0","-","164.7","186.1","192.7","225.6","232.5"
"2023000000","","2023年","03","","女","03000","","岩手県","","203.2","150.0","178.0","168.4","227.9","256.6","259.8"
"2023000000","","2023年","03","","女","04000","","宮城県","","208.8","-","178.9","225.1","178.7","215.7","339.0"
"2023000000","","2023年","03","","女","05000","","秋田県","","210.3","-","161.8","182.5","181.9","250.3","219.8"
"2023000000","","2023年","03","","女","06000","","山形県","","189.6","-","176.1","195.4","170.2","202.3","224.1"
"2023000000","","2023年","03","","女","07000","","福島県","","195.0","-","183.3","190.1","203.2","216.8","269.9"
"2023000000","","2023年","03","","女","08000","","茨城県","","214.9","-","178.8","201.3","200.6","227.1","225.9"
"2023000000","","2023年","03","","女","09000","","栃木県","","210.1","-","178.4","199.3","210.6","226.0","230.0"
"2023000000","","2023年","03","","女","10000","","群馬県","","215.5","-","179.4","229.5","201.1","223.3","254.1"
"2023000000","","2023年","03","","女","11000","","埼玉県","","222.7","-","196.3","221.3","210.0","236.8","253.9"
"2023000000","","2023年","03","","女","12000","","千葉県","","222.8","-","190.5","230.5","230.1","225.4","236.2"
"2023000000","","2023年","03","","女","13000","","東京都","","235.7","-","181.7","235.5","230.7","244.4","261.3"
"2023000000","","2023年","03","","女","14000","","神奈川県","","239.0","-","225.7","225.7","238.4","239.6","342.0"
"2023000000","","2023年","03","","女","15000","","新潟県","","196.8","-","168.7","208.3","194.8","212.9","242.9"
"2023000000","","2023年","03","","女","16000","","富山県","","208.4","-","183.8","195.3","186.8","236.2","255.2"
"2023000000","","2023年","03","","女","17000","","石川県","","206.2","-","185.7","204.5","188.5","217.4","159.6"
"2023000000","","2023年","03","","女","18000","","福井県","","205.5","-","184.2","208.4","173.1","215.6","267.9"
"2023000000","","2023年","03","","女","19000","","山梨県","","201.6","-","184.7","191.6","189.8","217.8","328.1"
"2023000000","","2023年","03","","女","20000","","長野県","","204.6","-","185.3","180.6","204.9","221.3","279.5"
"2023000000","","2023年","03","","女","21000","","岐阜県","","204.9","-","180.1","175.0","204.5","216.2","231.6"
"2023000000","","2023年","03","","女","22000","","静岡県","","227.3","-","184.3","225.7","206.5","259.9","236.8"
"2023000000","","2023年","03","","女","23000","","愛知県","","222.7","-","183.7","226.1","225.5","240.7","253.4"
"2023000000","","2023年","03","","女","24000","","三重県","","224.1","-","183.7","216.4","200.7","236.1","341.1"
"2023000000","","2023年","03","","女","25000","","滋賀県","","221.8","-","195.0","228.4","200.5","232.5","243.9"
"2023000000","","2023年","03","","女","26000","","京都府","","233.0","-","203.6","229.4","223.5","237.9","289.3"
"2023000000","","2023年","03","","女","27000","","大阪府","","225.3","-","199.6","208.9","227.5","233.2","251.1"
"2023000000","","2023年","03","","女","28000","","兵庫県","","222.9","-","187.6","226.5","207.7","224.1","267.5"
"2023000000","","2023年","03","","女","29000","","奈良県","","223.9","-","184.8","199.6","227.2","227.9","278.6"
"2023000000","","2023年","03","","女","30000","","和歌山県","","211.6","-","184.3","217.5","196.1","220.1","-"
"2023000000","","2023年","03","","女","31000","","鳥取県","","186.6","-","163.5","203.8","183.1","199.4","-"
"2023000000","","2023年","03","","女","32000","","島根県","","188.5","-","173.3","186.7","187.6","204.4","-"
"2023000000","","2023年","03","","女","33000","","岡山県","","212.4","-","177.3","223.8","201.2","221.8","233.8"
"2023000000","","2023年","03","","女","34000","","広島県","","208.5","-","179.3","202.4","224.9","221.3","241.1"
"2023000000","","2023年","03","","女","35000","","山口県","","197.4","-","178.5","196.2","193.6","217.9","250.2"
"2023000000","","2023年","03","","女","36000","","徳島県","","221.0","-","184.3","235.7","195.4","202.2","234.8"
